name,name_norm,mv_eur,dob,contract,sub_position,club
Emanuel Pogatetz,emanuel pogatetz,200000,1983-01-16,,Centre-Back,1.FC Nuremberg
Peer Kluge,peer kluge,125000,1980-11-22,,Defensive Midfield,Hertha BSC
Thomas Kleine,thomas kleine,250000,1977-12-28,,Centre-Back,SpVgg Greuther Fürth
Sven Neuhaus,sven neuhaus,200000,1978-04-04,,Goalkeeper,Hamburger SV
Matthias Lehmann,matthias lehmann,250000,1983-05-28,,Defensive Midfield,1.FC Köln
Nikolce Noveski,nikolce noveski,500000,1979-04-28,,Centre-Back,1.FSV Mainz 05
Christofer Heimeroth,christofer heimeroth,100000,1981-08-01,,Goalkeeper,Borussia Mönchengladbach
Raphael Schäfer,raphael schafer,200000,1979-01-30,,Goalkeeper,1.FC Nuremberg
Javier Zanetti,javier zanetti,1000000,1973-08-10,,Right-Back,Inter Milan
Peter Graulund,peter graulund,250000,1976-09-20,,Centre-Forward,Aarhus GF
Michael Ratajczak,michael ratajczak,50000,1982-04-16,,Goalkeeper,SC Paderborn 07
Clemens Fritz,clemens fritz,750000,1980-12-07,,Right-Back,SV Werder Bremen
Jermaine Jones,jermaine jones,600000,1981-11-03,,Defensive Midfield,Beşiktaş Jimnastik Kulübü
Martin Amedick,martin amedick,300000,1982-09-06,,Centre-Back,Eintracht Frankfurt
Alou Diarra,alou diarra,250000,1981-07-15,,Defensive Midfield,AS Nancy-Lorraine
Kevin Kuranyi,kevin kuranyi,1250000,1982-03-02,,Centre-Forward,TSG 1899 Hoffenheim
Steven Cherundolo,steven cherundolo,750000,1979-02-19,,Right-Back,Hannover 96
Christian Wetklo,christian wetklo,50000,1980-01-11,,Goalkeeper,FC Schalke 04
Guy Demel,guy demel,150000,1981-06-13,,Right-Back,Dundee United FC
Maik Franz,maik franz,300000,1981-08-05,,Centre-Back,Hertha BSC
Michael Owen,michael owen,1000000,1979-12-14,,Centre-Forward,Stoke City
Lars Jacobsen,lars jacobsen,500000,1979-09-20,,Right-Back,EA Guingamp
Cacau,cacau,350000,1981-03-27,,Centre-Forward,VfB Stuttgart
Mike Hanke,mike hanke,1000000,1983-11-05,,Centre-Forward,SC Freiburg
Christian Poulsen,christian poulsen,400000,1980-02-28,,Defensive Midfield,FC Copenhagen
Tim Wiese,tim wiese,500000,1981-12-17,,Goalkeeper,TSG 1899 Hoffenheim
Heiko Butscher,heiko butscher,200000,1980-07-28,,Centre-Back,Eintracht Frankfurt
Wesley Sonck,wesley sonck,200000,1978-08-09,,,SK Beveren
Youssef El Akchaoui,youssef el akchaoui,350000,1981-02-18,,Left-Back,SC Heerenveen
Alexander Meier,alexander meier,300000,1983-01-17,,Second Striker,Eintracht Frankfurt
Stefan Reisinger,stefan reisinger,500000,1981-09-14,,Centre-Forward,Fortuna Düsseldorf
Andreas Wolf,andreas wolf,500000,1982-06-12,,Centre-Back,AS Monaco
Thomas Hitzlsperger,thomas hitzlsperger,1000000,1982-04-05,,Central Midfield,Everton FC
Christian Schulz,christian schulz,100000,1983-04-01,,Centre-Back,Hannover 96
Mario Eggimann,mario eggimann,400000,,,Centre-Back,Hannover 96
Morten Rasmussen,morten rasmussen,50000,1985-03-26,,Centre-Back,AC Horsens
Vivian,vivian,100000,1982-04-05,,Centre-Back,EA Guingamp
Dennis Kruppke,dennis kruppke,400000,1980-04-01,,Second Striker,Eintracht Braunschweig
Sascha Riether,sascha riether,300000,1983-03-23,,Right-Back,FC Schalke 04
Diego Benaglio,diego benaglio,250000,1983-09-08,,Goalkeeper,AS Monaco
Milorad Pekovic,milorad pekovic,150000,1977-08-05,,Defensive Midfield,SpVgg Greuther Fürth
David Odonkor,david odonkor,500000,1984-02-21,,Right Winger,Goverla Uzhgorod (- 2016)
Jesper Christiansen,jesper christiansen,50000,1978-04-24,,Goalkeeper,Odense Boldklub
Heiko Westermann,heiko westermann,400000,1983-08-14,,Centre-Back,Ajax Amsterdam
Patrick Platins,patrick platins,250000,1983-04-19,,Goalkeeper,SV Darmstadt 98
Du-ri Cha,du-ri cha,825000,1980-07-25,,Right-Back,Fortuna Düsseldorf
René Adler,rene adler,500000,1985-01-15,,Goalkeeper,1.FSV Mainz 05
Halil Altintop,halil altintop,200000,1982-12-08,,Attacking Midfield,FC Augsburg
Hamit Altintop,hamit altintop,300000,1982-12-08,,Right Midfield,SV Darmstadt 98
Ali Bilgin,ali bilgin,175000,1981-12-17,,Central Midfield,Kasimpasa
Ahmet Cebe,ahmet cebe,50000,1983-05-02,,Right-Back,Akhisarspor
Deniz Dogan,deniz dogan,75000,,,Centre-Back,Eintracht Braunschweig
Markus Feulner,markus feulner,100000,1982-02-12,,Central Midfield,FC Augsburg
Philipp Haastrup,philipp haastrup,100000,1982-03-05,,Centre-Back,Willem II Tilburg
Nelson Valdez,nelson valdez,100000,1983-11-28,,Centre-Forward,Eintracht Frankfurt
Mladen Kascelan,mladen kascelan,25000,1983-02-13,2023-06-30,Defensive Midfield,FC Tosno (-2018)
Erdal Kilicaslan,erdal kilicaslan,400000,1984-08-23,,Left Winger,Ankaraspor
Oliver Kirch,oliver kirch,500000,1982-08-21,,Defensive Midfield,Borussia Dortmund
Patric Klandt,patric klandt,50000,1983-09-29,,Goalkeeper,1.FC Nuremberg
Lukas Kruse,lukas kruse,100000,1983-07-09,,Goalkeeper,SC Paderborn 07
Philipp Lahm,philipp lahm,11000000,1983-11-11,,Right-Back,Bayern Munich
Christian Lell,christian lell,800000,1984-08-29,,Right-Back,Levante UD
Markus Miller,markus miller,300000,1982-04-08,,Goalkeeper,Hannover 96
Zvjezdan Misimovic,zvjezdan misimovic,700000,1982-06-05,,Attacking Midfield,FK Dinamo Moskva
Marcel Ndjeng,marcel ndjeng,50000,1982-05-06,,Right Midfield,Hertha BSC
Patrick Ochs,patrick ochs,200000,1984-05-14,,Right-Back,VfL Wolfsburg
Patrick Owomoyela,patrick owomoyela,200000,1979-11-05,,Right-Back,Borussia Dortmund
Marjan Petkovic,marjan petkovic,200000,1979-05-22,,Goalkeeper,Eintracht Braunschweig
Michael Rensing,michael rensing,300000,1984-05-14,,Goalkeeper,Fortuna Düsseldorf
Mahir Saglik,mahir saglik,50000,1983-01-18,,Centre-Forward,SC Paderborn 07
Bastian Schweinsteiger,bastian schweinsteiger,1000000,1984-08-01,,Central Midfield,Manchester United
Thorsten Stuckmann,thorsten stuckmann,100000,1981-03-17,,Goalkeeper,Partick Thistle FC
Elyasa Süme,elyasa sume,25000,1983-08-13,,Centre-Back,Gaziantepspor (- 2020)
Piotr Trochowski,piotr trochowski,750000,1984-03-22,,Attacking Midfield,FC Augsburg
Morten Skoubo,morten skoubo,300000,1980-06-30,,Centre-Forward,Odense Boldklub
Nando Rafael,nando rafael,250000,1984-01-10,,Centre-Forward,Fortuna Düsseldorf
Romuald Peiser,romuald peiser,75000,1979-08-03,,Goalkeeper,Académica Coimbra
Alexander Madlung,alexander madlung,250000,1982-07-11,,Centre-Back,Eintracht Frankfurt
Christian Pander,christian pander,250000,1983-08-28,,Left-Back,Hannover 96
Eldin Jakupovic,eldin jakupovic,100000,1984-10-02,2023-12-31,Goalkeeper,Everton FC
Stephan Lichtsteiner,stephan lichtsteiner,800000,1984-01-16,,Right-Back,FC Augsburg
Mladen Petric,mladen petric,600000,1981-01-01,,Centre-Forward,Panathinaikos Athlitikos Omilos
Yassin Mikari,yassin mikari,150000,1983-01-09,,Left-Back,FC Sochaux-Montbéliard
Hervé Tum,herve tum,250000,1979-02-15,,Centre-Forward,Elazigspor
Rafa Márquez,rafa marquez,800000,1979-02-13,,Centre-Back,Hellas Verona
Andreas Ivanschitz,andreas ivanschitz,200000,1983-10-15,,Attacking Midfield,Levante UD
György Garics,gyorgy garics,100000,1984-03-08,,Right-Back,SV Darmstadt 98
Robert Almer,robert almer,250000,,,Goalkeeper,Hannover 96
Paul Scharner,paul scharner,1500000,1980-03-11,,Defensive Midfield,Hamburger SV
Roland Linz,roland linz,500000,1981-08-09,,Centre-Forward,CF Os Belenenses
Martín Demichelis,martin demichelis,200000,1980-12-20,,Centre-Back,RCD Espanyol Barcelona
Robert Huth,robert huth,2500000,1984-08-18,,Centre-Back,Leicester City
Chris Iwelumo,chris iwelumo,250000,1978-08-01,,Centre-Forward,St. Johnstone FC
Ekrem Dag,ekrem dag,100000,1980-12-05,,Right-Back,Gaziantepspor (- 2020)
Olof Mellberg,olof mellberg,300000,1977-09-03,,Centre-Back,FC Copenhagen
Steven Gerrard,steven gerrard,1750000,1980-05-30,,Central Midfield,Liverpool FC
Jan Schlaudraff,jan schlaudraff,750000,1983-07-18,,Second Striker,Hannover 96
David Bellion,david bellion,250000,1982-11-27,,Centre-Forward,FC Girondins Bordeaux
Kieron Dyer,kieron dyer,500000,1978-12-29,,Right Midfield,Queens Park Rangers
Richard Wright,richard wright,250000,1977-11-05,,Goalkeeper,Manchester City
Titus Bramble,titus bramble,2000000,1981-07-31,,Centre-Back,Sunderland AFC
Kevin Phillips,kevin phillips,250000,1973-07-25,,Centre-Forward,Crystal Palace
Florin Cernat,florin cernat,100000,1980-03-10,,Attacking Midfield,Caykur Rizespor
David Beckham,david beckham,1000000,1975-05-02,,Right Midfield,Paris Saint-Germain
Shay Given,shay given,250000,1976-04-20,,Goalkeeper,Stoke City
Carlo Cudicini,carlo cudicini,500000,1973-09-06,,Goalkeeper,Tottenham Hotspur
William Gallas,william gallas,500000,1977-08-17,,Centre-Back,Tottenham Hotspur
Valerio Di Cesare,valerio di cesare,200000,1983-05-23,2024-06-30,Centre-Back,Parma Calcio 1913
John Terry,john terry,1000000,1980-12-07,,Centre-Back,Chelsea FC
Frank Lampard,frank lampard,1000000,1978-06-20,,Central Midfield,Manchester City
Cris,cris,250000,1977-06-03,,Centre-Back,Galatasaray
Simon Cziommer,simon cziommer,400000,1980-11-06,,Central Midfield,Heracles Almelo
Quique de Lucas,quique de lucas,100000,1978-08-17,,Attacking Midfield,Celta de Vigo
Eidur Gudjohnsen,eidur gudjohnsen,200000,1978-09-15,,Centre-Forward,Club Brugge KV
Carlton Cole,carlton cole,500000,1983-10-12,,Centre-Forward,Celtic FC
Ashley Cole,ashley cole,500000,1980-12-20,,Left-Back,Associazione Sportiva Roma
Stuart Taylor,stuart taylor,250000,1980-11-28,,Goalkeeper,Southampton FC
Jermaine Pennant,jermaine pennant,500000,1983-01-15,,Right Winger,Stoke City
Stathis Tavlaridis,stathis tavlaridis,150000,1980-01-25,,Centre-Back,Panathinaikos Athlitikos Omilos
Kolo Touré,kolo toure,1750000,1981-03-19,,Centre-Back,Celtic FC
David Bentley,david bentley,3000000,1984-08-27,,Right Midfield,FK Rostov
Milan Baros,milan baros,250000,1981-10-28,,Centre-Forward,Antalyaspor
John Arne Riise,john arne riise,700000,1980-09-24,,Left-Back,Fulham FC
Nicolas Anelka,nicolas anelka,1000000,1979-03-14,,Centre-Forward,West Bromwich Albion
Chris,chris,300000,1978-08-25,,Centre-Back,TSG 1899 Hoffenheim
Rio Ferdinand,rio ferdinand,1000000,1978-11-07,,Centre-Back,Queens Park Rangers
Stephen Hughes,stephen hughes,275000,1982-11-14,,Central Midfield,Aberdeen FC
Roberto Hilbert,roberto hilbert,100000,1984-10-16,,Right-Back,Bayer 04 Leverkusen
Damien Duff,damien duff,600000,1979-03-02,,Right Midfield,Fulham FC
Jérémie Aliadière,jeremie aliadiere,500000,1983-03-30,,Centre-Forward,FC Lorient
Calvin Zola,calvin zola,300000,1984-12-31,,Centre-Forward,Aberdeen FC
Joseph Yobo,joseph yobo,750000,1980-09-06,,Centre-Back,Norwich City
Luke Young,luke young,500000,1979-07-19,,Right-Back,Queens Park Rangers
Matthew Upson,matthew upson,250000,1979-04-18,,Centre-Back,Leicester City
Shola Ameobi,shola ameobi,500000,1981-10-12,,Centre-Forward,Crystal Palace
Steve Banks,steve banks,50000,1972-02-09,,Goalkeeper,St. Johnstone FC
Gareth Barry,gareth barry,325000,1981-02-23,,Defensive Midfield,West Bromwich Albion
Joey Barton,joey barton,1000000,1982-09-02,,Central Midfield,Burnley FC
Paul Konchesky,paul konchesky,250000,1981-05-15,,Left-Back,Leicester City
Craig Bellamy,craig bellamy,1000000,1979-07-13,,Left Winger,Cardiff City
Jonathan Walters,jonathan walters,1500000,1983-09-20,,Right Winger,Burnley FC
Nicky Weaver,nicky weaver,250000,1979-03-02,,Goalkeeper,Aberdeen FC
Luke Wilkshire,luke wilkshire,100000,1981-10-02,,Right-Back,RFK Akhmat Grozny
Ben Williams,ben williams,100000,1982-08-27,,Goalkeeper,Hibernian FC
Wayne Rooney,wayne rooney,2000000,1985-10-24,,Centre-Forward,Manchester United
James Milner,james milner,750000,1986-01-04,,Central Midfield,Brighton & Hove Albion
Jonathan Blondel,jonathan blondel,500000,1984-04-03,,Defensive Midfield,Club Brugge KV
Sylvain Distin,sylvain distin,750000,1977-12-16,,Centre-Back,AFC Bournemouth
Mark Schwarzer,mark schwarzer,500000,1972-10-06,,Goalkeeper,Leicester City
Kaká,kaka,1000000,1982-04-22,,Attacking Midfield,AC Milan
Markus Neumayr,markus neumayr,200000,1986-03-26,,Attacking Midfield,Kasimpasa
Gábor Babos,gabor babos,50000,1974-10-24,,Goalkeeper,NAC Breda
Paul Scholes,paul scholes,1000000,1974-11-16,,Central Midfield,Manchester United
Phil Neville,phil neville,1000000,1977-01-21,,Right-Back,Everton FC
Wes Brown,wes brown,500000,1979-10-13,,Centre-Back,Sunderland AFC
Ryan Giggs,ryan giggs,1000000,1973-11-29,,Left Midfield,Manchester United
Pablo Aimar,pablo aimar,500000,1979-11-03,,Attacking Midfield,SL Benfica
Rodrigo Tello,rodrigo tello,200000,1979-10-14,,Left Winger,Elazigspor
Nicolás Burdisso,nicolas burdisso,300000,1981-04-12,,Centre-Back,Torino FC
Dejan Stankovic,dejan stankovic,500000,1978-09-11,,Central Midfield,Inter Milan
Timmy Simons,timmy simons,100000,1976-12-11,,Defensive Midfield,Club Brugge KV
Ragnvald Soma,ragnvald soma,100000,1979-11-10,,Centre-Back,FC Nordsjaelland
Zlatan Ibrahimović,zlatan ibrahimovic,2000000,1981-10-03,,Centre-Forward,AC Milan
Lomana LuaLua,lomana lualua,200000,1980-12-28,,Centre-Forward,Akhisarspor
Jermaine Jenas,jermaine jenas,1500000,1983-02-18,,Central Midfield,Queens Park Rangers
Kevin Stuhr-Ellegaard,kevin stuhr-ellegaard,100000,1983-05-23,,Goalkeeper,Aalborg BK
Shaun Wright-Phillips,shaun wright-phillips,100000,1981-10-25,,Right Winger,Queens Park Rangers
Thomas Sörensen,thomas sorensen,250000,1976-06-12,,Goalkeeper,Stoke City
Brad Friedel,brad friedel,750000,1971-05-18,,Goalkeeper,Tottenham Hotspur
Hugo Viana,hugo viana,3000000,1983-01-15,,Attacking Midfield,SC Braga
Dudu Aouate,dudu aouate,100000,1977-10-17,,Goalkeeper,RCD Mallorca
Christian Abbiati,christian abbiati,500000,1977-07-08,,Goalkeeper,AC Milan
Mark van Bommel,mark van bommel,800000,1977-04-22,,Defensive Midfield,PSV Eindhoven
Sylvain Armand,sylvain armand,250000,1980-08-01,,Left-Back,Stade Rennais FC
Jan Polak,jan polak,100000,1981-03-14,,Defensive Midfield,VfL Wolfsburg
Robert Vittek,robert vittek,150000,1982-04-01,,Centre-Forward,Basaksehir FK
Roy Carroll,roy carroll,150000,1977-09-30,,Goalkeeper,Olympiakos Syndesmos Filathlon Peiraios
Ricardo,ricardo,100000,1971-12-30,,Goalkeeper,CA Osasuna
Luke Steele,luke steele,150000,1984-09-24,,Goalkeeper,Panathinaikos Athlitikos Omilos
John O'Shea,john o'shea,500000,1981-04-30,,Centre-Back,Sunderland AFC
Darren Fletcher,darren fletcher,1000000,1984-02-01,,Central Midfield,Stoke City
Kieran Richardson,kieran richardson,1500000,1984-10-21,,Left-Back,Aston Villa
Jerome Thomas,jerome thomas,250000,1983-03-23,,Left Winger,Crystal Palace
Steve Harper,steve harper,250000,1975-03-14,,Goalkeeper,Sunderland AFC
Adam Collin,adam collin,250000,1984-12-09,,Goalkeeper,Aberdeen FC
Steed Malbranque,steed malbranque,200000,1980-01-06,,Central Midfield,SM Caen
Julien Escudé,julien escude,800000,1979-08-17,,Centre-Back,Beşiktaş Jimnastik Kulübü
Mickaël Landreau,mickael landreau,1750000,1979-05-14,,Goalkeeper,SC Bastia
Aaron Hughes,aaron hughes,200000,1979-11-08,,Centre-Back,Heart of Midlothian FC
Steve Simonsen,steve simonsen,125000,1979-04-03,,Goalkeeper,Dundee FC
Gary Naysmith,gary naysmith,450000,1978-11-16,,Left-Back,Aberdeen FC
Jamie Carragher,jamie carragher,1000000,1978-01-28,,Centre-Back,Liverpool FC
Sean O'Hanlon,sean o'hanlon,350000,1983-01-02,,Centre-Back,Hibernian FC
Tony Hibbert,tony hibbert,500000,1981-02-20,,Right-Back,Everton FC
Leon Osman,leon osman,1000000,1981-05-17,,Central Midfield,Everton FC
Paul Robinson,paul robinson,250000,1979-10-15,,Goalkeeper,Burnley FC
Ian Harte,ian harte,150000,1977-08-31,,Left-Back,Reading FC
Mark Hudson,mark hudson,500000,1982-03-30,,Centre-Back,Cardiff City
Jason Roberts,jason roberts,250000,1978-01-25,,Centre-Forward,Reading FC
Lloyd Dyer,lloyd dyer,250000,1982-09-13,,Left Midfield,Watford FC
Wayne Bridge,wayne bridge,500000,1980-08-05,,Left-Back,Manchester City
Jussi Jääskeläinen,jussi jaaskelainen,150000,1975-04-19,,Goalkeeper,West Ham United
Anton Ferdinand,anton ferdinand,300000,1985-02-18,,Centre-Back,St. Mirren FC
Bernard Mendy,bernard mendy,150000,1981-08-20,,Right-Back,Stade Brestois 29
Massimo Maccarone,massimo maccarone,150000,1979-09-06,,Centre-Forward,FC Empoli
Peter Enckelman,peter enckelman,350000,1977-03-10,,Goalkeeper,Heart of Midlothian FC
Kim Källström,kim kallstrom,800000,1982-08-24,,Central Midfield,FK Spartak Moskva
Georgios Theodoridis,georgios theodoridis,250000,1980-07-03,,Attacking Midfield,Panetolikos Agrinio
Óscar Ustari,oscar ustari,600000,1986-07-03,,Goalkeeper,Club Internacional de Fútbol Miami
Peter Whittingham,peter whittingham,750000,1984-09-08,,Central Midfield,Cardiff City
Raúl Bravo,raul bravo,100000,1981-04-14,,Centre-Back,Veria NPS
George McCartney,george mccartney,1000000,1981-04-29,,Left-Back,West Ham United
Sam Parkin,sam parkin,200000,1981-03-14,,Centre-Forward,St. Mirren FC
Scott Parker,scott parker,500000,1980-10-13,,Central Midfield,Fulham FC
Matthew Etherington,matthew etherington,1500000,1981-08-14,,Left Midfield,Stoke City
Gary Caldwell,gary caldwell,500000,1982-04-12,,Centre-Back,Wigan Athletic
Carlo Nash,carlo nash,250000,1973-09-13,,Goalkeeper,Norwich City
Richard Dunne,richard dunne,500000,1979-09-21,,Centre-Back,Queens Park Rangers
Sofian Chahed,sofian chahed,500000,1983-04-18,,Right-Back,Hannover 96
Malik Fathi,malik fathi,100000,1983-10-29,,Left-Back,1.FSV Mainz 05
Gordon Greer,gordon greer,200000,1980-12-14,,Centre-Back,Kilmarnock FC
Jay McEveley,jay mceveley,400000,1985-02-11,,Centre-Back,Ross County FC
Boaz Myhill,boaz myhill,350000,1982-11-09,,Goalkeeper,West Bromwich Albion
Jan-Ingwer Callsen-Bracker,jan-ingwer callsen-bracker,100000,1984-09-23,,Centre-Back,FC Augsburg
Andrew Davies,andrew davies,250000,1984-12-17,,Centre-Back,Dundee FC
Jermain Defoe,jermain defoe,400000,1982-10-07,,Centre-Forward,Rangers FC
Joe Cole,joe cole,150000,1981-11-08,,Attacking Midfield,Aston Villa
Michael Carrick,michael carrick,1000000,1981-07-28,,Defensive Midfield,Manchester United
Glen Johnson,glen johnson,2500000,1984-08-23,,Right-Back,Stoke City
Eduardo,eduardo,500000,1980-08-05,,Centre-Forward,AC Ajaccio
Henri Camara,henri camara,150000,1977-05-10,,Centre-Forward,Panetolikos Agrinio
Pierre-Alain Frau,pierre-alain frau,250000,1980-04-15,,Centre-Forward,FC Sochaux-Montbéliard
Omar Daf,omar daf,250000,1977-02-12,,Right-Back,FC Sochaux-Montbéliard
Pascal Feindouno,pascal feindouno,75000,1981-02-27,,Right Winger,Elazigspor
Péguy Luyindula,peguy luyindula,600000,1979-05-25,,Centre-Forward,Paris Saint-Germain
Didier Drogba,didier drogba,500000,1978-03-11,,Centre-Forward,Chelsea FC
Marama Vahirua,marama vahirua,400000,1980-05-12,,Second Striker,Panthrakikos Komotini
Martin Lanig,martin lanig,600000,,,Defensive Midfield,Eintracht Frankfurt
Henrik Pedersen,henrik pedersen,150000,1975-06-10,,Centre-Forward,Silkeborg IF
Kevin Nolan,kevin nolan,2000000,1982-06-24,,Attacking Midfield,West Ham United
Djibril Cissé,djibril cisse,200000,1981-08-12,,Centre-Forward,SC Bastia
Domi Kumbela,domi kumbela,250000,1984-04-20,,Centre-Forward,Kardemir Karabükspor
Svetoslav Todorov,svetoslav todorov,300000,1978-08-30,,Centre-Forward,Goverla Uzhgorod (- 2016)
Iker Casillas,iker casillas,1000000,1981-05-20,,Goalkeeper,FC Porto
Dmitriy Sychev,dmitriy sychev,25000,1983-10-26,,Centre-Forward,Volga Nizhniy Novgorod (- 2016)
Gary O'Neil,gary o'neil,500000,1983-05-18,,Central Midfield,Norwich City
Dirk Kuyt,dirk kuyt,1500000,1980-07-22,,Right Winger,Feyenoord Rotterdam
Louis Saha,louis saha,400000,1978-08-08,,Centre-Forward,Società Sportiva Lazio S.p.A.
Daniel Baier,daniel baier,400000,1984-05-18,,Defensive Midfield,FC Augsburg
Brad Jones,brad jones,100000,1982-03-19,2023-06-30,Goalkeeper,Feyenoord Rotterdam
Dean Marney,dean marney,800000,1984-01-31,,Central Midfield,Burnley FC
Simon Davies,simon davies,500000,1979-10-23,,Right Midfield,Fulham FC
Lee Barnard,lee barnard,250000,1984-07-18,,Centre-Forward,Southampton FC
Stewart Downing,stewart downing,200000,1984-07-22,,Left Winger,Middlesbrough FC
Liam Ridgewell,liam ridgewell,500000,1984-07-21,,Centre-Back,West Bromwich Albion
Peter Crouch,peter crouch,1000000,1981-01-30,,Centre-Forward,Burnley FC
Luke Moore,luke moore,700000,1986-02-13,,Centre-Forward,Elazigspor
Darren Ambrose,darren ambrose,300000,1984-02-29,,Left Midfield,Apollon Smyrnis
Frazer Richardson,frazer richardson,350000,1982-10-29,,Right-Back,Southampton FC
Matthew Kilgallon,matthew kilgallon,300000,1984-01-08,,Centre-Back,Hamilton Academical FC
Garry Monk,garry monk,500000,1979-03-06,,Centre-Back,Swansea City
Rory Delap,rory delap,250000,1976-07-06,,Central Midfield,Stoke City
Chris Baird,chris baird,250000,1982-02-25,,Defensive Midfield,West Bromwich Albion
Richie Ryan,richie ryan,100000,1985-01-06,,Defensive Midfield,Dundee United FC
Anthony Lurling,anthony lurling,100000,1977-04-22,,Attacking Midfield,NAC Breda
Ricardo Quaresma,ricardo quaresma,300000,1983-09-26,,Right Winger,Vitória Guimarães SC
Brian Murphy,brian murphy,10000,1983-05-07,,Goalkeeper,Cardiff City
Rafael van der Vaart,rafael van der vaart,200000,1983-02-11,,Attacking Midfield,Esbjerg fB
Bobby Zamora,bobby zamora,750000,1981-01-16,,Centre-Forward,Queens Park Rangers
Dominik Reinhardt,dominik reinhardt,50000,1984-12-19,,Right-Back,FC Augsburg
Florent Sinama-Pongolle,florent sinama-pongolle,250000,1984-10-20,,Second Striker,Dundee United FC
Anthony Le Tallec,anthony le tallec,250000,1984-10-03,,Centre-Forward,APS Atromitos Athinon
David Fox,david fox,250000,1983-12-13,,Central Midfield,Norwich City
Adam Federici,adam federici,250000,1985-01-31,,Goalkeeper,AFC Bournemouth
